Read_Name	Origin_Gene	Mapped_Gene
Read94371	PKD1P6	PKD1P1
Read37518	PKD1P6	PKD1P6
Read40346	PKD1P5	PKD1P5
Read54536	PKD1P4	PKD1P4
Read20819	PKD1P6	PKD1P6
Read37269	PKD1	PKD1
Read44023	PKD1P1	PKD1P5
Read51623	PKD1P2	PKD1P2
Read85804	PKD1P1	PKD1P5
Read60900	PKD1P6	PKD1P6
Read4521	PKD1P3	PKD1P3
Read46047	PKD1	PKD1
Read60055	PKD1	PKD1
Read11931	PKD1P5	PKD1P1
Read51783	PKD1P1	PKD1P4
Read33455	PKD1	PKD1
Read34286	PKD1P6	PKD1P6
Read96486	PKD1P4	PKD1P5
Read48313	PKD1	PKD1
Read67208	PKD1	PKD1
Read66118	PKD1P3	PKD1P2
Read29371	PKD1P2	PKD1P2
Read87519	PKD1P1	PKD1P5
Read78760	PKD1P2	PKD1P3
Read4212	PKD1	PKD1
Read57042	PKD1P6	PKD1P6
Read60002	PKD1P4	PKD1P4
Read98812	PKD1P2	PKD1P5
Read84227	PKD1P5	PKD1P5
Read88716	PKD1P4	PKD1P4
Read19982	PKD1P2	PKD1P2
Read39244	PKD1	PKD1
Read71189	PKD1P1	PKD1P3
Read12052	PKD1P1	PKD1P5
Read10135	PKD1P6	PKD1P6
Read38021	PKD1P6	PKD1P3
Read92919	PKD1P5	PKD1P5
Read81233	PKD1P2	PKD1P4
Read17693	PKD1P2	PKD1P5
Read64907	PKD1	PKD1
Read75009	PKD1P6	PKD1P6
Read76501	PKD1P3	PKD1P3
Read27773	PKD1	PKD1
Read47124	PKD1P6	PKD1P6
Read14722	PKD1P3	PKD1P3
Read57188	PKD1P3	PKD1P3
Read27362	PKD1P3	PKD1P3
Read68537	PKD1	PKD1
Read86732	PKD1P6	PKD1P6
Read86521	PKD1P3	PKD1P6
Read74481	PKD1P1	PKD1P3
Read83386	PKD1P2	PKD1P2
Read89478	PKD1	PKD1
Read62826	PKD1P5	PKD1P1
Read94600	PKD1P6	PKD1P6
Read95321	PKD1P5	PKD1P5
Read15688	PKD1P2	PKD1P5
Read44635	PKD1P4	PKD1P4
Read19790	PKD1P5	PKD1P5
Read28569	PKD1P6	PKD1P6
Read43391	PKD1P3	PKD1P4
Read41503	PKD1P6	PKD1P4
Read4063	PKD1	PKD1
Read42695	PKD1P1	PKD1
Read89368	PKD1P2	PKD1P5
Read91457	PKD1P6	PKD1P6
Read84674	PKD1P2	PKD1P2
Read76267	PKD1P3	PKD1P3
Read80162	PKD1P3	PKD1P3
Read61711	PKD1P4	PKD1P1
Read2404	PKD1P3	PKD1P1
Read78267	PKD1P2	PKD1P2
Read5019	PKD1P6	PKD1P6
Read52258	PKD1P4	PKD1P4
Read53796	PKD1P4	PKD1P2
Read23978	PKD1P5	PKD1P5
Read25450	PKD1P2	PKD1P2
Read68682	PKD1P5	PKD1P6
Read9182	PKD1P1	PKD1P3
Read40175	PKD1P6	PKD1P6
Read98152	PKD1P5	PKD1P6
Read83654	PKD1P2	PKD1P3
Read19061	PKD1P3	PKD1P2
Read76196	PKD1	PKD1
Read35180	PKD1P4	PKD1P4
Read1849	PKD1P1	PKD1P3
Read40817	PKD1P4	PKD1P4
Read97404	PKD1	PKD1
Read2092	PKD1P6	PKD1P6
Read20971	PKD1P2	PKD1P5
Read33442	PKD1P1	PKD1P1
Read66925	PKD1P3	PKD1P3
Read55655	PKD1P3	PKD1P3
Read12391	PKD1	PKD1
Read32418	PKD1P6	PKD1P6
Read62850	PKD1P4	PKD1P1
Read41764	PKD1P5	PKD1P5
Read63647	PKD1P1	PKD1P1
