Read_Name	Origin_Gene	Mapped_Gene
Read569	PKD1P5	NONE
Read570	PKD1P3	NONE
Read571	PKD1P2	PKD1P2
Read572	PKD1P6	NONE
Read573	PKD1P2	NONE
Read574	PKD1P4	NONE
Read575	PKD1P1	NONE
Read576	PKD1P2	NONE
Read577	PKD1	PKD1
Read578	PKD1P2	NONE
Read579	PKD1	PKD1
Read580	PKD1	PKD1
Read581	PKD1P4	NONE
Read582	PKD1	PKD1
Read583	PKD1P6	NONE
Read584	PKD1P1	NONE
Read585	PKD1P4	NONE
Read586	PKD1	PKD1
Read587	PKD1P1	NONE
Read588	PKD1	PKD1
Read589	PKD1P4	NONE
Read590	PKD1P6	NONE
Read591	PKD1	PKD1
Read592	PKD1P4	NONE
Read593	PKD1P1	NONE
Read594	PKD1P4	NONE
Read595	PKD1P5	NONE
Read596	PKD1P1	NONE
Read597	PKD1P6	PKD1P6
Read598	PKD1P2	NONE
Read599	PKD1P2	NONE
Read600	PKD1	PKD1
Read601	PKD1P5	NONE
Read602	PKD1P2	NONE
Read603	PKD1P5	NONE
Read604	PKD1P6	PKD1P6
Read605	PKD1	PKD1
Read606	PKD1P3	NONE
Read607	PKD1P3	PKD1P3
Read608	PKD1P2	NONE
Read609	PKD1	PKD1
Read610	PKD1P5	NONE
Read611	PKD1P3	NONE
Read612	PKD1P5	PKD1P5
Read613	PKD1P3	NONE
Read614	PKD1P5	PKD1P5
Read615	PKD1P1	PKD1P1
Read616	PKD1	PKD1
Read617	PKD1P2	PKD1P2
Read618	PKD1P3	NONE
Read619	PKD1P1	NONE
Read620	PKD1	PKD1
Read621	PKD1	PKD1
Read622	PKD1P2	NONE
Read623	PKD1P4	PKD1P4
Read624	PKD1P4	NONE
Read625	PKD1P1	NONE
Read626	PKD1P4	NONE
Read627	PKD1P4	PKD1P4
Read628	PKD1P6	PKD1P6
Read629	PKD1P5	NONE
Read630	PKD1P1	PKD1P1
Read631	PKD1P2	NONE
Read632	PKD1P2	PKD1P2
Read633	PKD1P4	NONE
Read634	PKD1P5	NONE
Read635	PKD1P3	NONE
Read636	PKD1P6	PKD1P6
Read637	PKD1P1	NONE
Read638	PKD1P2	NONE
Read639	PKD1P1	NONE
Read640	PKD1P5	PKD1P5
Read641	PKD1P2	NONE
Read642	PKD1P3	NONE
Read643	PKD1P3	NONE
Read644	PKD1P4	NONE
Read645	PKD1P3	NONE
Read646	PKD1P3	NONE
Read647	PKD1P1	NONE
Read648	PKD1P1	NONE
Read649	PKD1P1	NONE
Read650	PKD1P4	NONE
Read651	PKD1P4	NONE
Read652	PKD1P2	PKD1P2
Read653	PKD1P3	NONE
Read654	PKD1P5	NONE
Read655	PKD1	PKD1
Read656	PKD1P2	NONE
Read657	PKD1P4	NONE
Read658	PKD1P6	PKD1P6
Read659	PKD1	PKD1
Read660	PKD1P6	PKD1P6
Read661	PKD1	PKD1
Read662	PKD1P2	NONE
Read663	PKD1P5	NONE
Read664	PKD1P3	NONE
Read665	PKD1P1	NONE
Read666	PKD1P2	NONE
Read667	PKD1	PKD1
Read668	PKD1P4	NONE
Read669	PKD1P6	PKD1P6
Read670	PKD1P4	NONE
Read671	PKD1P4	NONE
Read672	PKD1P6	PKD1P6
Read673	PKD1P4	NONE
Read674	PKD1P6	PKD1P6
Read675	PKD1P4	PKD1P4
Read676	PKD1P4	PKD1P4
Read677	PKD1	PKD1
Read678	PKD1P4	NONE
