Read_Name	Origin_Gene	Mapped_Gene
Read60111	PKD1P3	PKD1P3
Read60112	PKD1	PKD1
Read60113	PKD1P6	PKD1P6
Read60117	PKD1P6	PKD1P6
Read60119	PKD1	PKD1
Read60120	PKD1P2	PKD1P2
Read60121	PKD1P6	PKD1P6
Read60122	PKD1	PKD1
Read60125	PKD1P3	PKD1P3
Read60128	PKD1P6	PKD1P6
Read60129	PKD1	PKD1
Read60130	PKD1P6	PKD1P6
Read60131	PKD1	PKD1
Read60132	PKD1	PKD1
Read60134	PKD1P6	PKD1P6
Read60135	PKD1P5	PKD1P5
Read60137	PKD1	PKD1
Read60138	PKD1	PKD1
Read60139	PKD1P6	PKD1P6
Read60140	PKD1P1	PKD1P1
Read60141	PKD1P2	PKD1P2
Read60142	PKD1	PKD1
Read60143	PKD1P6	PKD1P6
Read60144	PKD1P2	PKD1P2
Read60146	PKD1P3	PKD1P3
Read60149	PKD1P4	PKD1P4
Read60154	PKD1P1	PKD1P1
Read60155	PKD1	PKD1
Read60158	PKD1P6	PKD1P6
Read60159	PKD1P5	PKD1P5
Read60166	PKD1P6	PKD1P6
Read60167	PKD1P2	PKD1P2
Read60168	PKD1	PKD1
Read60169	PKD1	PKD1
Read60171	PKD1P6	PKD1P6
Read60172	PKD1P6	PKD1P6
Read60174	PKD1P6	PKD1P6
Read60175	PKD1	PKD1
Read60179	PKD1P1	PKD1P1
Read60184	PKD1P6	PKD1P6
Read60188	PKD1	PKD1
Read60189	PKD1	PKD1
Read60199	PKD1P5	PKD1P5
Read60200	PKD1	PKD1
Read60204	PKD1	PKD1
Read60206	PKD1P4	PKD1P4
Read60210	PKD1P6	PKD1P6
Read60216	PKD1	PKD1
Read60222	PKD1	PKD1
Read60223	PKD1	PKD1
Read60224	PKD1P5	PKD1P5
Read60229	PKD1P6	PKD1P6
Read60232	PKD1P6	PKD1P6
Read60235	PKD1P3	PKD1P3
Read60237	PKD1P5	PKD1P5
Read60244	PKD1P3	PKD1P3
Read60246	PKD1P2	PKD1P2
Read60250	PKD1P6	PKD1P6
Read60253	PKD1P5	PKD1P5
Read60255	PKD1P6	PKD1P6
Read60257	PKD1P6	PKD1P6
Read60259	PKD1P1	PKD1P1
Read60260	PKD1	PKD1
Read60265	PKD1P5	PKD1P5
Read60267	PKD1P3	PKD1P3
Read60270	PKD1	PKD1
Read60272	PKD1P5	PKD1P5
Read60273	PKD1P6	PKD1P6
Read60276	PKD1P6	PKD1P6
Read60287	PKD1	PKD1
Read60288	PKD1	PKD1
Read60293	PKD1	PKD1
Read60294	PKD1	PKD1
